Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,82,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:22:43Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:3KiTVEnTfi5DwiXszlDoVL,"Vanilla Twilight","Ocean Eyes","Owl City",2009-01-01,231706,44,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-13T03:02:04Z,"","Universal Records",0.581,0.526,11,-7.639,1,0.0253,0.00941,0.000539,0.113,0.572,166.074,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,"Counting Stars","Native","OneRepublic",2013-01-01,257265,91,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:22:57Z,"christian rock,christian alternative rock,christian","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.118,0.474,122.013,4
spotify:track:5Hroj5K7vLpIG4FNCRIjbP,"Best Day Of My Life","Oh, What A Life","American Authors",2014-01-01,194240,85,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:23:18Z,"","Island Records",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000227,0.0558,0.536,100.012,4
spotify:track:0Oa9mHOnH14GZ4toWwkf4c,"Good Life (with G-Eazy & Kehlani)","Good Life (with G-Eazy & Kehlani)","G-Eazy;Kehlani",2017-03-17,225520,73,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:24:05Z,"chillstep,reggaeton,trap latino","Artist Partner",0.572,0.778,1,-5.208,1,0.233,0.00638,0,0.0563,0.54,168.073,4
spotify:track:57EO5VGq2uNbHqkaZkp10m,"Spark","Spark","Vexento",2018-04-16,243087,35,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:24:34Z,"","Vexento",0.947,0.612,4,-10.212,0,0.0497,0.039,0.856,0.198,0.284,117.01,4
spotify:track:3eR23VReFzcdmS7TYCrhCe,"It Ain't Me (with Selena Gomez)","It Ain't Me (with Selena Gomez)","Kygo;Selena Gomez",2017-02-16,220780,83,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:25:07Z,"tropical house","Kygo",0.64,0.533,0,-6.596,1,0.0706,0.119,0,0.0864,0.515,99.968,4
spotify:track:2rizacJSyD9S1IQUxUxnsK,"All We Know (feat. Phoebe Ryan)","All We Know (feat. Phoebe Ryan)","The Chainsmokers;Phoebe Ryan",2016-09-29,194080,70,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:25:23Z,"chillstep","Disruptor Records/Columbia",0.662,0.586,0,-8.821,1,0.0307,0.097,0.00272,0.115,0.296,90,4
spotify:track:5g1BARk25uUJtEPSUwcjnU,"Hero (feat. Christina Perri)","Blood, Sweat & 3 Years","Cash Cash;Christina Perri",2016-06-24,197840,65,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:25:41Z,"","Big Beat Records",0.47,0.85,1,-2.825,0,0.0363,0.0627,0,0.118,0.148,149.876,4
spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,"Outside (feat. Ellie Goulding)","Motion","Calvin Harris;Ellie Goulding",2014-10-31,227266,90,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:27:30Z,"","Columbia",0.646,0.823,2,-4.123,0,0.0394,0.213,0,0.322,0.418,128.035,4
spotify:track:1x5sYLZiu9r5E43kMlt9f8,"Symphony (feat. Zara Larsson)","Symphony (feat. Zara Larsson)","Clean Bandit;Zara Larsson",2017-03-16,212459,78,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:27:47Z,"edm","Atlantic Records UK",0.707,0.629,0,-4.581,0,0.0563,0.259,0.000016,0.138,0.457,122.863,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,84,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:48:20Z,"edm,pop","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
spotify:track:2n2KYxnMq2S6nmVUXyClA5,"Fade Into Darkness","Fade Into Darkness","Avicii",2011-01-01,198240,24,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:29:21Z,"neoclassical","ARS Entertainment N.V.",0.557,0.879,6,-4.102,1,0.0324,0.00788,0.00000185,0.143,0.786,125.988,4
spotify:track:2P4OICZRVAQcYAV2JReRfj,"Waiting For Love","Stories","Avicii",2015-10-02,230613,86,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:29:32Z,"neoclassical","Pophouse Entertainment Group",0.579,0.736,6,-3.863,0,0.0527,0.31,0,0.198,0.613,127.999,4
spotify:track:2Fjz5ZC5BvFdCqcnTZ3ilH,"Sing Me to Sleep","Sing Me to Sleep","Alan Walker",2016-06-03,189333,63,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:29:47Z,"edm","Kreatell Music",0.491,0.607,4,-6.333,0,0.0668,0.0125,0.00000152,0.289,0.166,176.112,4
spotify:track:2DGa7iaidT5s0qnINlwMjJ,"The Spectre","The Spectre","Alan Walker",2017-09-15,193787,75,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:30:22Z,"edm","Kreatell Music",0.654,0.711,1,-7.437,0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,4
spotify:track:4n7jnSxVLd8QioibtTDBDq,"On My Way","On My Way","Alan Walker;Sabrina Carpenter;Farruko",2019-03-21,193797,75,true,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:30:39Z,"edm,soft pop","Kreatell Music",0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,4
spotify:track:4Rd5l7mIiV0V35AhxHV1oh,"Monody","Monody","TheFatRat;Laura Brehm",2015-11-07,290467,58,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:31:28Z,"edm","Pharisade",0.526,0.69,1,-3.591,0,0.0351,0.114,0.00216,0.0969,0.224,106.993,4
spotify:track:1QJN61zuPWRy6nj58ndREm,"Nothing Stopping Me","Nothing Stopping Me","Vicetone;Kat Nestel",2015-07-31,223225,59,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:31:41Z,"edm,soft pop","Vicetone Records",0.602,0.801,5,-2.427,1,0.0471,0.137,0,0.103,0.375,126.952,4
spotify:track:3Te8uLyit6X3ncNW8Fp3K2,"Immortals","American Beauty/American Psycho","Fall Out Boy",2015-01-16,189386,80,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:49:33Z,"","Island Records",0.616,0.868,2,-3.606,1,0.0699,0.00131,0.00000154,0.671,0.475,108.016,4
spotify:track:04aAxqtGp5pv12UXAg4pkq,"Centuries","American Beauty/American Psycho","Fall Out Boy",2015-01-16,228360,85,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:49:46Z,"","Island Records",0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,4
spotify:track:2UREu1Y8CO4jXkbvqAtP7g,"Monster","Awake","Skillet",2009-08-21,178013,85,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:50:44Z,"soft pop","Atlantic Records",0.64,0.957,8,-2.336,1,0.0741,0.0431,0,0.0789,0.692,134.992,4
spotify:track:6fNhZRFEkBfgW39W3wKARJ,"Pompeii","Bad Blood","Bastille",2013-01-01,214147,81,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:50:10Z,"","Virgin Records",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,4
spotify:track:611nlMA40SKg9gQ4pTVXT3,"Discord","Discord","The Living Tombstone;Eurobeat Brony",2012-01-21,193776,68,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:51:58Z,"","628798 Records DK2",0.676,0.835,8,-4.382,0,0.044,0.00682,0.0000304,0.081,0.8,104.987,4
spotify:track:06KyNuuMOX1ROXRhj787tj,"We Don't Talk Anymore (feat. Selena Gomez)","Nine Track Mind","Charlie Puth;Selena Gomez",2016-01-29,217706,82,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:52:43Z,"","Artist Partner",0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,4
spotify:track:7JJmb5XwzOO8jgpou264Ml,"There's Nothing Holdin' Me Back","Illuminate (Deluxe)","Shawn Mendes",2017-04-20,199440,91,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:53:05Z,"","Island Records",0.866,0.811,11,-4.063,0,0.0553,0.375,0,0.078,0.969,121.995,4
spotify:track:1UNEuG9DYOWiikf00ayr52,"Love Me Not","Love Me Not / Love Is Blind","Ravyn Lenae",2024-05-03,213466,89,false,31wuzvtoh6krgkltp6k7nsznzexm,2026-06-12T16:53:22Z,"","Atlantic Records",0.786,0.741,0,-6.147,1,0.0309,0.293,0,0.132,0.816,113.98,4
